Radius	predicate	time	# Vertices
889	-0.00112486	3087	1836
890	-0.0011236	2582	1832
891	-0.00112233	3221	1832
892	-0.00112108	2972	1844
893	-0.00111982	2628	1864
894	-0.00111857	3325	1824
895	-0.00111732	2869	1844
896	-0.00111607	3296	1844
897	-0.00111483	2950	1856
898	-0.00111359	2690	1884
899	-0.00111235	2953	1852
900	-0.00111111	2828	1864
901	-0.00110988	3007	1864
902	-0.00110865	3075	1876
903	-0.00110742	3339	1852
904	-0.00110619	3172	1872
905	-0.00110497	2706	1884
906	-0.00110375	2997	1868
907	-0.00110254	3183	1864
908	-0.00110132	3177	1864
909	-0.00110011	3103	1884
910	-0.0010989	2960	1896
911	-0.00109769	3199	1864
912	-0.00109649	3044	1884
913	-0.00109529	3146	1876
914	-0.00109409	3020	1896
915	-0.0010929	3271	1856
916	-0.0010917	3059	1892
917	-0.00109051	2874	1904
918	-0.00108932	2892	1904
919	-0.00108814	3017	1908
920	-0.00108696	3474	1876
921	-0.00108578	3256	1904
922	-0.0010846	3080	1924
923	-0.00108342	2873	1916
924	-0.00108225	2965	1904
925	-0.00108108	2995	1888
926	-0.00107991	2983	1916
927	-0.00107875	2989	1936
928	-0.00107759	3144	1912
929	-0.00107643	2873	1916
930	-0.00107527	3080	1908
931	-0.00107411	3176	1928
932	-0.00107296	3448	1896
933	-0.00107181	3303	1932
934	-0.00107066	3037	1944
935	-0.00106952	2996	1928
936	-0.00106838	2842	1956
937	-0.00106724	3389	1908
938	-0.0010661	3383	1936
939	-0.00106496	2882	1956
940	-0.00106383	3148	1948
941	-0.0010627	3014	1944
942	-0.00106157	3008	1928
943	-0.00106045	3583	1948
944	-0.00105932	3376	1940
945	-0.0010582	3331	1928
946	-0.00105708	3118	1964
947	-0.00105597	3057	1940
948	-0.00105485	3214	1968
949	-0.00105374	3271	1936
950	-0.00105263	3217	1948
951	-0.00105152	3207	1984
952	-0.00105042	3188	1968
953	-0.00104932	3194	1988
954	-0.00104822	3249	1956
955	-0.00104712	3004	1968
956	-0.00104603	3133	1996
957	-0.00104493	2990	1980
958	-0.00104384	3357	1976
959	-0.00104275	3274	1968
960	-0.00104167	3071	1980
961	-0.00104058	3388	1988
962	-0.0010395	3244	1968
963	-0.00103842	3346	1988
964	-0.00103734	3289	1988
965	-0.00103627	2954	2000
966	-0.0010352	3335	1984
967	-0.00103413	3273	1996
968	-0.00103306	3433	2008
969	-0.00103199	3210	2008
970	-0.00103093	3099	2028
971	-0.00102987	3302	1988
972	-0.00102881	3172	2008
973	-0.00102775	3395	2000
974	-0.00102669	3246	2020
975	-0.00102564	3382	2016
976	-0.00102459	3501	2000
977	-0.00102354	3050	2020
978	-0.00102249	3276	2012
